"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"cod_barrio_local";"id_seccion_censal_local";"desc_seccion_censal_local";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"id_vial_edificio";"clase_vial_edificio";"desc_vial_edificio";"id_ndp_edificio";"id_clase_ndp_edificio";"nom_edificio";"num_edificio";"cal_edificio";"secuencial_local_PC";"id_vial_acceso";"clase_vial_acceso";"desc_vial_acceso";"id_ndp_acceso";"id_clase_ndp_acceso";"nom_acceso";"num_acceso";"cal_acceso";"coordenada_x_agrupacion";"coordenada_y_agrupacion";"id_agrupacion";"nombre_agrupacion";"id_tipo_agrup";"desc_tipo_agrup";"id_planta_agrupado";"id_local_agrupado";"rotulo";"id_seccion";"desc_seccion";"id_division";"desc_division";"id_epigrafe";"desc_epigrafe";"fx_carga"
10000013;1;"CENTRO              ";102;"EMBAJADORES         ";2;1058;58;441199.58;4473326.52;1;"Puerta Calle";1;"Abierto";264800;"PLAZA                   ";"EMPERADOR CARLOS V                                ";11003119;1;"NUM";"000008";"  ";20;264800;"PLAZA                   ";"EMPERADOR CARLOS V                                ";11003119;1;"NUM";"000008";"  ";"";"";"";"";"";"";"1";"07";"HOTEL MEDIODIA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561006";"CAFETERIA";"31/07/2026"
10000013;1;"CENTRO              ";102;"EMBAJADORES         ";2;1058;58;441199.58;4473326.52;1;"Puerta Calle";1;"Abierto";264800;"PLAZA                   ";"EMPERADOR CARLOS V                                ";11003119;1;"NUM";"000008";"  ";20;264800;"PLAZA                   ";"EMPERADOR CARLOS V                                ";11003119;1;"NUM";"000008";"  ";"";"";"";"";"";"";"1";"07";"HOTEL MEDIODIA";"I";"HOSTELERÍA";"55";"SERVICIOS DE ALOJAMIENTO";"551002";"HOTELES Y MOTELES SIN RESTAURANTE";"31/07/2026"
10000044;1;"CENTRO              ";101;"PALACIO             ";1;1014;14;439722.59;4473550.53;1;"Puerta Calle";4;"Cerrado";369700;"CALLE                   ";"HUMILLADERO                                       ";11000878;1;"NUM";"000016";"  ";10;369700;"CALLE                   ";"HUMILLADERO                                       ";11000878;1;"NUM";"000016";"  ";"";"";"";"";"";"";"1";" ";"V.M. VINOMANIA";"G";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"47";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"472502";"COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO";"31/07/2026"
10000052;1;"CENTRO              ";104;"JUSTICIA            ";4;1082;82;440875.59;4475142.52;1;"Puerta Calle";1;"Abierto";678900;"TRAVESIA                ";"SAN MATEO                                         ";11005006;1;"NUM";"000017";"  ";10;576200;"CALLE                   ";"PELAYO                                            ";11004968;1;"NUM";"000057";"  ";"";"";"";"";"";"";"1";"IZ";"MUNE";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561004";"BAR RESTAURANTE";"31/07/2026"
10000071;1;"CENTRO              ";106;"SOL                 ";6;1119;119;440388.59;4474077.53;1;"Puerta Calle";1;"Abierto";93000;"CALLE                   ";"BARCELONA                                         ";11007454;1;"NUM";"000012";"  ";10;93000;"CALLE                   ";"BARCELONA                                         ";11007454;1;"NUM";"000012";"  ";"";"";"";"";"";"";"1";"IZ";"LA DESCUBIERTA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561006";"CAFETERIA";"31/07/2026"
10000071;1;"CENTRO              ";106;"SOL                 ";6;1119;119;440388.59;4474077.53;1;"Puerta Calle";1;"Abierto";93000;"CALLE                   ";"BARCELONA                                         ";11007454;1;"NUM";"000012";"  ";10;93000;"CALLE                   ";"BARCELONA                                         ";11007454;1;"NUM";"000012";"  ";"";"";"";"";"";"";"1";"IZ";"LA DESCUBIERTA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561001";"RESTAURANTE";"31/07/2026"
10000093;1;"CENTRO              ";104;"JUSTICIA            ";4;1074;74;440953.59;4474656.52;1;"Puerta Calle";1;"Abierto";94000;"CALLE                   ";"BARQUILLO                                         ";20005422;1;"NUM";"000007";"  ";30;638500;"PLAZA                   ";"REY                                               ";11004306;1;"NUM";"000004";"  ";"";"";"";"";"";"";"1";"03";"LA REVOLTOSA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561006";"CAFETERIA";"31/07/2026"
10000290;1;"CENTRO              ";102;"EMBAJADORES         ";2;1022;22;0.0;0.0;0;"Agrupado";1;"Abierto";743600;"CALLE                   ";"TOLEDO                                            ";11001307;1;"NUM";"000109";"  ";0;743600;"CALLE                   ";"TOLEDO                                            ";11001307;1;"NUM";"000109";"  ";439711.59;4473336.53;99000064;"CENTRO COMERCIAL LA PALOMA";4;"Galería de Alimentacion";"1";"19";"PESCADERIA PEDRO CARBALLO";"G";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"47";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"472302";"COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR";"31/07/2026"
10000299;1;"CENTRO              ";102;"EMBAJADORES         ";2;1035;35;0.0;0.0;0;"Agrupado";1;"Abierto";262000;"CALLE                   ";"EMBAJADORES                                       ";11002143;1;"NUM";"000041";"  ";0;262000;"CALLE                   ";"EMBAJADORES                                       ";11002143;1;"NUM";"000041";"  ";440295.59;4473246.53;99000057;"MERCADO MUNICIPAL DE SAN FERNANDO";12;"Mercado Municipal";"1";"11";"YAN KEN PON LOCAL 11 (PUESTO 44-45-46-47-48)";"G";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"47";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"472407";"ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR";"31/07/2026"
10000306;1;"CENTRO              ";103;"CORTES              ";3;1062;62;441203.59;4473577.52;1;"Puerta Calle";1;"Abierto";606900;"PASEO                   ";"PRADO                                             ";11003372;1;"NUM";"000038";"  ";10;606900;"PASEO                   ";"PRADO                                             ";11003372;1;"NUM";"000038";"  ";"";"";"";"";"";"";"1";"01";"CEIP PALACIO VALDES";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"562902";"SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL";"31/07/2026"
10000306;1;"CENTRO              ";103;"CORTES              ";3;1062;62;441203.59;4473577.52;1;"Puerta Calle";1;"Abierto";606900;"PASEO                   ";"PRADO                                             ";11003372;1;"NUM";"000038";"  ";10;606900;"PASEO                   ";"PRADO                                             ";11003372;1;"NUM";"000038";"  ";"";"";"";"";"";"";"1";"01";"CEIP PALACIO VALDES";"P";"EDUCACIÓN";"85";"EDUCACIÓN";"852001";"CENTRO DE INFANTIL Y PRIMARIA PUBLICO";"31/07/2026"
10000307;1;"CENTRO              ";102;"EMBAJADORES         ";2;1032;32;440038.59;4473080.53;1;"Puerta Calle";1;"Abierto";152400;"CALLE                   ";"CASINO                                            ";31009301;1;"NUM";"000007";"  ";10;152400;"CALLE                   ";"CASINO                                            ";31009301;1;"NUM";"000007";"  ";"";"";"";"";"";"";"1";"A";"CEIP SANTA MARIA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"562902";"SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL";"31/07/2026"
10000307;1;"CENTRO              ";102;"EMBAJADORES         ";2;1032;32;440038.59;4473080.53;1;"Puerta Calle";1;"Abierto";152400;"CALLE                   ";"CASINO                                            ";31009301;1;"NUM";"000007";"  ";10;152400;"CALLE                   ";"CASINO                                            ";31009301;1;"NUM";"000007";"  ";"";"";"";"";"";"";"1";"A";"CEIP SANTA MARIA";"P";"EDUCACIÓN";"85";"EDUCACIÓN";"852001";"CENTRO DE INFANTIL Y PRIMARIA PUBLICO";"31/07/2026"
10000308;1;"CENTRO              ";102;"EMBAJADORES         ";2;1037;37;440134.59;4473142.53;1;"Puerta Calle";1;"Abierto";774800;"CALLE                   ";"VENTORRILLO                                       ";11002215;1;"NUM";"000014";"  ";10;774800;"CALLE                   ";"VENTORRILLO                                       ";11002215;1;"NUM";"000014";"  ";"";"";"";"";"";"";"1";"01";"CEIP  EMILIA PARDO BAZAN";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"562902";"SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL";"31/07/2026"
10000308;1;"CENTRO              ";102;"EMBAJADORES         ";2;1037;37;440134.59;4473142.53;1;"Puerta Calle";1;"Abierto";774800;"CALLE                   ";"VENTORRILLO                                       ";11002215;1;"NUM";"000014";"  ";10;774800;"CALLE                   ";"VENTORRILLO                                       ";11002215;1;"NUM";"000014";"  ";"";"";"";"";"";"";"1";"01";"CEIP  EMILIA PARDO BAZAN";"P";"EDUCACIÓN";"85";"EDUCACIÓN";"852001";"CENTRO DE INFANTIL Y PRIMARIA PUBLICO";"31/07/2026"
10000325;1;"CENTRO              ";101;"PALACIO             ";1;1006;6;439756.6;4474372.53;1;"Puerta Calle";1;"Abierto";776900;"CALLE                   ";"VERGARA                                           ";11000323;1;"NUM";"000001";"  ";10;776900;"CALLE                   ";"VERGARA                                           ";11000323;1;"NUM";"000001";"  ";"";"";"";"";"";"";"1";"01";"NEMRUT KEBAB PIZZA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561001";"RESTAURANTE";"31/07/2026"
10000358;1;"CENTRO              ";105;"UNIVERSIDAD         ";5;1112;112;439856.6;4475044.53;1;"Puerta Calle";1;"Abierto";13600;"CALLE                   ";"ALAMO                                             ";11006790;1;"NUM";"000008";"  ";10;13600;"CALLE                   ";"ALAMO                                             ";11006790;1;"NUM";"000008";"  ";"";"";"";"";"";"";"1";"01";"SIETE";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561005";"BAR CON COCINA";"31/07/2026"
